keyword,est_impressions,relevance,mapped_route,note
chat gpt free,3243822,core,/compare (chatgpt-vs-claude adjacent),"market-level demand estimate, NOT site traffic"
chatgpt free,796849,core,/compare (chatgpt-vs-claude adjacent),"market-level demand estimate, NOT site traffic"
chatgpt for free,651280,core,/compare (chatgpt-vs-claude adjacent),"market-level demand estimate, NOT site traffic"
chat gpt go free,417026,core,/compare (chatgpt-vs-claude adjacent),"market-level demand estimate, NOT site traffic"
best ai for coding free,351937,core,/best-free-ai-coding-agents,"market-level demand estimate, NOT site traffic"
claude ai free,333333,core,/cursor-pricing + /claude-code-pricing adjacent,"market-level demand estimate, NOT site traffic"
ai animated video maker free,328176,core,GAP: creative-ai-tools,"market-level demand estimate, NOT site traffic"
gemini ai free,324861,core,/cursor-pricing + /claude-code-pricing adjacent,"market-level demand estimate, NOT site traffic"
ai bot image generator free,298659,core,GAP: creative-ai-tools,"market-level demand estimate, NOT site traffic"
chatgpt free online,279656,core,/compare (chatgpt-vs-claude adjacent),"market-level demand estimate, NOT site traffic"
chat gpt free online,251699,core,/compare (chatgpt-vs-claude adjacent),"market-level demand estimate, NOT site traffic"
chat gpt online free,176458,core,/compare (chatgpt-vs-claude adjacent),"market-level demand estimate, NOT site traffic"
free chat gpt,132888,core,/compare (chatgpt-vs-claude adjacent),"market-level demand estimate, NOT site traffic"
chatgpt login free,124915,core,/compare (chatgpt-vs-claude adjacent),"market-level demand estimate, NOT site traffic"
ai detector free,114288,core,GAP: ai-detector-tools,"market-level demand estimate, NOT site traffic"
free ai,90342,core,/best-free-ai-agents,"market-level demand estimate, NOT site traffic"
free coding practice sites,75759,core,/best-free-ai-coding-agents,"market-level demand estimate, NOT site traffic"
dola ai free,56242,core,GAP: agent-app-profile,"market-level demand estimate, NOT site traffic"
